country,source,title,pub_date,description,url,language
United States,CNN,"Syrian refugee elected mayor of German town, years after fleeing war",Unknown,A Syrian who arrived in Germany as a refugee in 2015 has won a mayoral election in the southwestern German state of Baden-W rttemberg.,https://www.cnn.com/2023/04/04/europe/germany-mayor-syrian-refugee-intl/index.html,en
United States,CNN,"Study finds slightly higher risk of autism diagnosis in areas with more lithium in drinking water, but experts say more research is needed",Unknown,"A new study found a moderately higher risk of autism spectrum disorder in children born to pregnant people exposed to tap water with higher levels of lithium, but experts caution that this association does not show a direct link between the two.",https://www.cnn.com/2023/04/03/health/autism-lithium-study/index.html,en
United States,CNN,"Kwame Brathwaite, photographer of 'Black is Beautiful' movement, dies at 85",Unknown,"Kwame Brathwaite, the pioneering activist and photographer whose work helped define the aesthetics of the ""Black is Beautiful"" movement of the 1960s and beyond, died on April 1, aged 85.",https://www.cnn.com/style/article/kwame-brathwaite-obituary-tan/index.html,en
United States,CNN,This boiled bag of offal is banned in the US. In Scotland it's a fine-dining treat,Unknown,"Anthony Bourdain loved haggis. But even the late, great American chef, writer and television host recognized that Scotland's national dish, with its ""sinister sheep parts"" wrapped in a shroud of mystery and half-invented history, could be a hard sell.",https://www.cnn.com/travel/article/haggis-scotland-secrets/index.html,en
United States,CNN,Musk's Twitter promised a purge of blue check marks. Instead he singled out the New York Times,Unknown,"Some VIP Twitter users woke up on Saturday expecting to have lost their coveted blue verification check marks in a previously announced purge by Elon Musk. Instead, Twitter appeared to target a single account from a major publication Musk dislikes and changed the language on its site in a way that obscures why users are verified.",https://www.cnn.com/2023/04/03/tech/twitter-blue-checks/index.html,en
United States,CNN,See the world's deepest fish,Unknown,"Scientists captured the unknown snailfish species at a depth of more than 27,000 feet, as part of an expedition in trenches off Japan.",https://www.cnn.com/videos/travel/2023/04/03/snailfish-deepest-fish-on-camera-lon-orig-ao-cprog-scn.cnn,en
United States,CNN,Emma Heming Willis shares family photos as daughter Mabel turns 11,Unknown,"Bruce Willis' wife, Emma Heming Willis, has celebrated their elder daughter's birthday with a trip down memory lane.",https://www.cnn.com/2023/04/03/entertainment/emma-willis-mabel-birthday-photos-intl-scli/index.html,en
United States,CNN,Some fans whistle as Lionel Messi's name is announced as Paris Saint-Germain's season hits new low,Unknown,Paris Saint-Germain's miserable season went from bad to worse on Sunday as the team suffered a second straight home defeat with a 1-0 loss to Lyon.,https://www.cnn.com/2023/04/03/football/lionel-messi-psg-whistles-fans-spt-intl/index.html,en
United States,CNN,Chelsea searches for new manager as Premier League breaks record for most sackings in a single season,Unknown,"It was just six months ago that Graham Potter was deemed the man to usher in a fresh, exciting era at Chelsea.",https://www.cnn.com/2023/04/03/football/chelsea-graham-potter-manager-premier-league-spt-intl/index.html,en
United States,CNN,See 'Star Wars' legend react to Acosta's Darth Vader impression,Unknown,"Actor Mark Hamill joins CNN's Jim Acosta to discuss his thoughts about a potential spinoff series based around his legendary ""Star Wars"" character Luke Skywalker.",https://www.cnn.com/videos/media/2023/04/02/mark-hamill-star-wars-jim-acosta-skywalker-cprog-acostanr-vpx.cnn,en
